Category,Dataset Name,Year,Total Hours,Access Level,License Type,URL Status,Ease of Access Score
3D reconstruction,Aria Digital Twin (ADT),2023,Unknown,Gated-Open,Custom Academic,Live,7.8
3D reconstruction,Ego-1K,2026,Unknown,Open,Custom Academic,Live,6.8
3D reconstruction,EgoPAT3D,2022,Unknown,Open,Not specified,Live,5.5
Action recognition,Assembly101,2022,513,Open,CC-BY-NC-4.0,Live,8.8
Action recognition,Breakfast,2014,77,Open,CC-BY-4.0,Redirect,8.5
Action recognition,50 Salads,2013,~4,Open,CC-BY-NC-SA-4.0,Dead,7.8
Action recognition,THU-READ,2018,Unknown,Open,Custom Academic,Live,6.8
Action recognition,EgoGesture,2018,Unknown,Gated-Open,Custom Academic,Live,6.2
Action recognition,HOMAGE,2021,30,Gated-Open,Not specified,Live,6.0
Action recognition,LEMMA,2020,Unknown,Gated-Open,Not specified,Live,6.0
Action recognition,EgoK360,2020,Unknown,Open,Not specified,Live,5.5
Action recognition,Ego-Deliver,2021,Unknown,Restricted,Not specified,Live,3.0
Action recognition,FPVO,Unknown,Unknown,Unavailable,Not specified,Dead,0.0
Body pose,EgoBody,2022,Unknown,Gated-Open,CC-BY-NC-SA-4.0,Live,8.8
Body pose,Nymeria,2024,300,Gated-Open,CC-BY-NC-4.0,Live,8.8
Body pose,EgoBody3M,2024,Unknown,Open,CC-BY-NC-4.0,Live,8.2
Body pose,NymeriaPlus,2026,300,Gated-Open,CC-BY-NC-4.0,Live,8.2
Body pose,xR-EgoPose,2019,Unknown,Open,Custom Academic,Live,8.2
Body pose,GIMO,2022,Unknown,Gated-Open,Custom Academic,Live,7.2
Body pose,EgoHumans,2023,Unknown,Open,Not specified,Live,7.0
Body pose,UnrealEgo / UnrealEgo2,2022,Unknown,Open,Not specified,Live,7.0
Body pose,UnrealEgo-RW,2024,Unknown,Open,Not specified,Live,7.0
Body pose,HPS,2021,Unknown,Gated-Open,Custom Academic,Live,6.8
Body pose,CIRCLE,2024,10,Open,Not specified,Live,5.5
Body pose,EgoSim,2024,Unknown,Open,Not specified,Live,5.0
Body pose,ADL4D,2024,Unknown,Open,Not specified,Live,5.0
Classic,EPIC-KITCHENS-55,2018,55,Open,CC-BY-NC-4.0,Live,9.2
Classic,CMU-MMAC,2009,~10,Open,Custom Open,Live,7.0
Classic,EGTEA Gaze+,2018,28,Open,Not specified,Live,6.0
Classic,GTEA,2011,<2,Open,Not specified,Live,5.5
Classic,GTEA Gaze,2012,~2,Open,Not specified,Live,5.5
Classic,BEOID,2014,Unknown,Open,Not specified,Live,5.5
